Song Name,Musicians,Duration,Song Link
Nobody Home,Pink Floyd,3:24,https://music.youtube.com/watch?v=CM-N9d8cm-A
Have a Cigar,Pink Floyd,5:09,https://music.youtube.com/watch?v=NJKE-ab6v6Q
Wish You Were Here,Pink Floyd,5:35,https://music.youtube.com/watch?v=4K6cvc27_CE
High Hopes,Pink Floyd,8:31,https://music.youtube.com/watch?v=pCrQMvoMVHk
"Side 3, Pt. 1: The Lost Art of Conversation",Pink Floyd,1:43,https://music.youtube.com/watch?v=geFUp49Okno
Comfortably Numb (Live At Pompeii 2016),David Gilmour,10:00,https://music.youtube.com/watch?v=1WjH4DmBz8o
Hey You,Pink Floyd,4:40,https://music.youtube.com/watch?v=GuAvK_DM8wA
Marooned,Pink Floyd,5:31,https://music.youtube.com/watch?v=p75tb6tlsCU
On the Turning Away (Remix 2019),Pink Floyd,5:43,https://music.youtube.com/watch?v=GwCesVu3Ljw
Fearless,Pink Floyd,6:08,https://music.youtube.com/watch?v=nUvLEyykHL8
High Hopes (Live At Pompeii 2016),David Gilmour,9:31,https://music.youtube.com/watch?v=E-llhWN2htY
Daydream,Gunter Kallmann Choir,3:22,https://music.youtube.com/watch?v=2c0UusJoscE
Where'd All the Time Go?,Dr. Dog,3:55,https://music.youtube.com/watch?v=S0V9zehc_h8
Learning to Fly,Pink Floyd,4:53,https://music.youtube.com/watch?v=Orrvnf7aPrA
The Sound of Silence (Acoustic Version),Simon & Garfunkel,3:06,https://music.youtube.com/watch?v=-eqJGVl0Pr0
Heaven (Classic Version),Bryan Adams,4:24,https://music.youtube.com/watch?v=0ZnURckdcyo
Forever Young,Alphaville,3:46,https://music.youtube.com/watch?v=9OUurVdRGsc
Have a Cigar,Pink Floyd,5:08,https://music.youtube.com/watch?v=Eq8ZiZ9xiLw
Learning to Fly (Live),Pink Floyd,5:17,https://music.youtube.com/watch?v=m8OijPmiRbo
Wish You Were Here,Pink Floyd,5:35,https://music.youtube.com/watch?v=4K6cvc27_CE
Shine On You Crazy Diamond (Pts. 1-5) (Live At Pompeii 2016),David Gilmour,12:33,https://music.youtube.com/watch?v=Ya6gx6bAfxg
Shine On You Crazy Diamond (Pts. 6-9),Pink Floyd,12:28,https://music.youtube.com/watch?v=ur4J7hhhto8
Sweet Child O' Mine,Guns N' Roses,5:57,https://music.youtube.com/watch?v=oMfMUfgjiLg
Thunderstruck,AC/DC,4:53,https://music.youtube.com/watch?v=lhg9bYNLvOg
Smells Like Teen Spirit,Nirvana,5:02,https://music.youtube.com/watch?v=ljUtuoFt-8c
Sweet Dreams (Are Made of This),Eurythmics,3:38,https://music.youtube.com/watch?v=i5_asj1BGFs
Highway to Hell,AC/DC,3:29,https://music.youtube.com/watch?v=ikFFVfObwss
Fade To Black,Metallica,6:58,https://music.youtube.com/watch?v=9HZ_tx8aWuA
Blackened,Metallica,6:43,https://music.youtube.com/watch?v=IuIBSvh2aVk
Through The Never,Metallica,4:05,https://music.youtube.com/watch?v=Cdru3Z_F_Sw
Wherever I May Roam (Radio Edit),Metallica,5:01,https://music.youtube.com/watch?v=y3l6jwo2s0Q
Master Of Puppets,Metallica,8:36,https://music.youtube.com/watch?v=zbSjDVcZA2o
Harvester of Sorrow,Metallica,5:46,https://music.youtube.com/watch?v=-4AR4yC31uw
Wish You Were Here (Live At Pompeii 2016),David Gilmour,5:19,https://music.youtube.com/watch?v=ivndfQP86xw
Lost for Words,Pink Floyd,5:15,https://music.youtube.com/watch?v=GnH8ley-XaQ
Echoes,Pink Floyd,23:33,https://music.youtube.com/watch?v=OF4rw3LOfqY
Outside the Wall,Pink Floyd,1:45,https://music.youtube.com/watch?v=jnj4OYdNlIY
